DATE,CMRMTSPL
1967-01-01,384920.447
1967-02-01,383442.986
1967-03-01,386220.206
1967-04-01,385967.616
1967-05-01,385651.562
1967-06-01,388516.363
1967-07-01,386005.695
1967-08-01,391190.771
1967-09-01,392571.765
1967-10-01,389847.855
1967-11-01,400348.743
1967-12-01,409250.318
1968-01-01,405145.414
1968-02-01,403868.502
1968-03-01,406874.196
1968-04-01,406066.923
1968-05-01,408912.685
1968-06-01,411804.142
1968-07-01,415733.884
1968-08-01,408646.133
1968-09-01,414365.582
1968-10-01,419977.141
1968-11-01,423598.443
1968-12-01,419669.971
1969-01-01,419680.126
1969-02-01,420333.813
1969-03-01,421879.816
1969-04-01,423703.795
1969-05-01,423411.857
1969-06-01,423169.421
1969-07-01,423288.735
1969-08-01,427881.049
1969-09-01,429946.194
1969-10-01,434919.297
1969-11-01,428897.755
1969-12-01,428106.984
1970-01-01,422711.205
1970-02-01,423086.917
1970-03-01,418143.008
1970-04-01,416029.630
1970-05-01,420548.324
1970-06-01,422232.681
1970-07-01,422683.281
1970-08-01,422487.809
1970-09-01,421754.156
1970-10-01,417366.199
1970-11-01,410360.952
1970-12-01,423383.932
1971-01-01,427531.993
1971-02-01,429919.539
1971-03-01,431702.900
1971-04-01,434051.098
1971-05-01,436170.823
1971-06-01,442160.632
1971-07-01,437068.216
1971-08-01,439814.973
1971-09-01,443775.177
1971-10-01,444082.347
1971-11-01,451590.235
1971-12-01,455806.837
1972-01-01,460625.086
1972-02-01,455653.252
1972-03-01,464095.342
1972-04-01,467248.274
1972-05-01,470125.768
1972-06-01,472176.951
1972-07-01,469244.877
1972-08-01,480493.380
1972-09-01,488756.499
1972-10-01,495502.809
1972-11-01,504981.914
1972-12-01,511716.800
1973-01-01,518234.636
1973-02-01,519044.447
1973-03-01,516971.687
1973-04-01,514832.922
1973-05-01,513182.837
1973-06-01,512158.515
1973-07-01,519138.375
1973-08-01,508410.283
1973-09-01,511919.887
1973-10-01,525050.757
