date,ip,personal_income,mtp,emp,dcoinc
1.52,28.4,1058.2,142908,48227,37.2
2.52,28.5,1075.5,144424,48493,37.6
3.52,28.6,1077.6,143663,48416,37.6
4.52,28.4,1075.5,145420,48509,37.6
5.52,28.1,1086.1,146916,48474,37.7
6.52,27.8,1087.8,147175,48125,37.5
7.52,27.4,1082.4,144070,47999,37.2
8.52,29.2,1105.4,147275,48686,38.2
9.52,30.2,1118.4,152374,49085,38.8
10.52,30.5,1114.9,157262,49434,39.1
11.52,31.1,1107.9,156711,49719,39.2
12.52,31.3,1115.7,159538,49937,39.5
1.53,31.4,1115.6,160423,50045,39.6
2.53,31.6,1124.7,162734,50273,39.9
3.53,31.8,1135.4,164495,50382,40.1
4.53,32,1132.4,164552,50314,40.1
5.53,32.2,1138.5,163828,50358,40.2
6.53,32,1141.4,161834,50389,40.1
7.53,32.4,1139.8,164136,50382,40.3
8.53,32.2,1136.1,160742,50271,40.1
9.53,31.6,1136.1,159321,50226,39.9
10.53,31.3,1140.2,158526,50108,39.8
11.53,30.6,1136.1,154589,49825,39.4
12.53,29.8,1131.1,151918,49625,39
1.54,29.6,1131.1,152719,49341,38.9
2.54,29.7,1129,154444,49276,38.9
3.54,29.5,1123.3,153588,49046,38.7
4.54,29.3,1113,154895,49039,38.6
5.54,29.5,1115.9,152195,48852,38.6
6.54,29.6,1121.2,154137,48791,38.7
7.54,29.6,1121.2,153682,48689,38.6
8.54,29.6,1132.4,152696,48643,38.7
9.54,29.6,1138.5,153460,48765,38.8
10.54,30,1143.9,154055,48828,39
11.54,30.5,1156.6,158685,49103,39.4
12.54,30.9,1155.9,162435,49234,39.7
1.55,31.6,1159.3,164854,49354,40
2.55,32,1161.9,166234,49523,40.2
3.55,32.7,1170,169611,49851,40.6
4.55,33.1,1177.8,171379,50104,40.9
5.55,33.7,1187.9,172115,50404,41.3
6.55,33.7,1191.1,172131,50693,41.4
7.55,34,1206,172682,50811,41.7
8.55,33.9,1206.8,171979,50929,41.7
9.55,34.1,1215.7,174807,51103,41.9
10.55,34.7,1220.9,174073,51323,42.2
11.55,34.8,1230.5,175542,51507,42.4
12.55,34.9,1238.6,175829,51714,42.6
1.56,35.1,1236,174810,51863,42.6
2.56,34.8,1243.6,173428,52093,42.6
3.56,34.8,1248.8,174077,52228,42.7
4.56,35.1,1262.4,174579,52232,43
5.56,34.8,1259.8,173984,52365,42.9
6.56,34.5,1263.5,174808,52433,43
7.56,33.4,1254.2,167114,51746,42.1
8.56,34.8,1265.4,172717,52382,42.9
9.56,35.6,1269.8,174330,52439,43.2
10.56,35.9,1283.1,175829,52674,43.5
11.56,35.6,1278.5,176662,52752,43.5
12.56,36.1,1280.2,178391,52908,43.7
1.57,36,1278.2,178898,52808,43.6
2.57,36.3,1284.5,179508,53003,43.8
3.57,36.3,1283.8,178270,53062,43.8
4.57,35.8,1284.6,175438,53053,43.6
5.57,35.7,1283.1,174779,52996,43.6
6.57,35.8,1293.5,175789,52941,43.7
7.57,36,1294.3,175082,52972,43.7
8.57,36,1295,176271,52913,43.7
9.57,35.7,1291.2,173898,52816,43.5
10.57,35.1,1282.9,173046,52663,43.3
11.57,34.3,1283.7,170731,52482,43
12.57,33.7,1273.9,166862,52307,42.6
1.58,33,1270.5,166580,52003,42.3
2.58,32.3,1264.5,163715,51441,41.8
3.58,31.9,1268.3,161262,51142,41.6
4.58,31.4,1261.9,160504,50807,41.2
5.58,31.7,1265.3,161136,50770,41.3
6.58,32.6,1274.3,164147,50801,41.7
7.58,33,1297.4,165833,50911,42.1
8.58,33.7,1295.5,168752,51113,42.4
9.58,34,1303,169723,51355,42.7
10.58,34.4,1301.1,172518,51378,42.8
11.58,35.4,1320.3,175180,51814,43.4
12.58,35.5,1322.1,170372,51986,43.4
1.59,36,1318.7,177579,52408,43.8
2.59,36.7,1326.1,180295,52568,44.2
3.59,37.2,1338.1,182424,52883,44.6
4.59,38,1349.3,185177,53132,45
5.59,38.6,1354.6,187213,53422,45.3
6.59,38.6,1359.3,187464,53584,45.4
7.59,37.7,1360.7,186905,53663,45.3
8.59,36.4,1346.1,180702,53220,44.6
9.59,36.4,1344.1,180205,53257,44.5
10.59,36.1,1346.7,180599,53196,44.5
11.59,36.3,1366.1,181001,53509,44.8
12.59,38.6,1381.6,186020,54040,45.8
1.6,39.6,1387.1,189271,54185,46.2
2.6,39.2,1379.9,188409,54414,46.1
3.6,38.9,1378,187454,54287,45.9
4.6,38.6,1380.7,187916,54634,46
5.6,38.5,1390.9,185445,54362,45.9
6.6,38.1,1390.5,185299,54276,45.8
7.6,37.9,1388,184402,54214,45.7
8.6,37.9,1388.4,183416,54198,45.7
9.6,37.5,1385.1,185475,54063,45.6
10.6,37.4,1385.6,184494,53982,45.5
11.6,36.9,1383,182100,53845,45.3
12.6,36.2,1377.9,182475,53577,45
1.61,36.3,1389.5,178627,53534,45
2.61,36.2,1390.9,179133,53380,44.9
3.61,36.4,1391.3,182209,53510,45.1
4.61,37.2,1400.4,181214,53462,45.3
5.61,37.7,1408.7,183946,53677,45.6
6.61,38.3,1415.9,187282,53916,46
7.61,38.7,1417.6,185026,54027,46.1
8.61,39.1,1425.5,189399,54222,46.4
9.61,39,1425.8,190051,54285,46.5
10.61,39.8,1439.8,192566,54376,46.8
11.61,40.4,1454.8,194393,54622,47.2
12.61,40.7,1462.4,195194,54744,47.4
1.62,40.4,1459.1,195352,54709,47.3
2.62,41.1,1464.3,195537,55018,47.6
3.62,41.3,1475.7,198194,55107,47.9
4.62,41.4,1481.9,198356,55459,48.1
5.62,41.3,1480.9,198124,55514,48.1
6.62,41.2,1491.1,197286,55561,48.2
7.62,41.6,1497.5,198071,55643,48.4
8.62,41.7,1495.7,199471,55778,48.5
9.62,41.9,1494.4,198952,55849,48.5
10.62,42,1500.7,200913,55912,48.6
11.62,42.2,1505.3,203713,55936,48.8
12.62,42.2,1512.3,200284,55918,48.8
1.63,42.5,1505.6,201169,55935,48.8
2.63,42.9,1515.5,204347,56055,49.1
3.63,43.2,1515.1,204465,56153,49.2
4.63,43.6,1520.7,206370,56454,49.5
5.63,44.1,1529.1,204950,56513,49.6
